ecole;type;statut;ville_commune;adresse;telephone_1;telephone_2;whatsapp;email;site_web;interlocuteur_cible;fiabilite;source;type_email;etat_email
ITES (Institut de Technologies et Specialites);Grande ecole - industriel / tertiaire;Prive;Abidjan - Cocody II Plateaux Sanon;27 BP 498 Abidjan 27;+225 27 22 52 20 84;;;infos@ites.ci;www.ites.ci;Directeur des Etudes;Moyenne;ites.ci + AnnuaireCI;domaine propre;morte
ESMA - Ecole de Specialites Multimedia d'Abidjan;Grande ecole - multimedia / communication;Prive;Abidjan - Cocody Riviera 2;Riviera 2 Rue Alpha Blondy - BP 65 Riviera 2 Abidjan;+225 27 22 47 11 12;+225 07 02 77 66 31;;infos@esma-edu.com;esma-edu.com;Directeur des Etudes (par campus);Haute;Site officiel esma-edu.com;domaine propre;valide
IIPEA - Institut International Polytechnique des Elites d'Abidjan;Institut superieur - polytechnique pluridisciplinaire;Prive;Abidjan - Cocody Riviera 2;Riviera 2 pres du College Andre Malraux;+225 07 08 08 87 87;+225 07 69 36 08 57;;secretariat@iipea.com;iipea.com;Directeur des Etudes (par campus);Moyenne;AnnuaireCI;domaine propre;valide
CUP - Centre Universitaire Professionnalise d'Abidjan;Centre universitaire - pluridisciplinaire;Prive;Abidjan - Cocody Riviera 3;Cocody Riviera 3 Abidjan;+225 27 22 48 64 27;+225 07 07 98 50 00;;infos@cup-ci.org;cup-ci.org;Directeur des Etudes;Haute;Site officiel cup-ci.org;domaine propre;valide
Groupe CSI Pole Polytechnique;Grande ecole - ingenierie / gestion;Prive;Abidjan - Cocody Riviera Bonoumin;Riviera Bonoumin, Cocody;+225 27 22 49 49 39;+225 07 07 98 15 82;+225 05 05 75 39 45;info@groupecsi-pp.com;groupecsi-pp.com;Directeur des Etudes;Haute;Page contact officielle groupecsi-pp.com;domaine propre;valide
IUPA Cocody - Institut Universitaire Polytechnique d'Abidjan;Institut superieur - polytechnique;Prive;Abidjan - Cocody Riviera Bonoumin;Carrefour Ahmed Ouattara Riviera Bonoumin Cocody - 01 BP 7762 Abidjan 01;;;;iupacocody@iupa-ismt.ci;iupa-ismt.ci;Directeur des Etudes (par campus);Haute;Site officiel iupa-ismt.ci;domaine propre;boite pleine
UIST - Universite Internationale des Sciences et Technologie;Universite privee - sciences et technologies;Prive;Abidjan - Cocody Riviera Bonoumin;Riviera Bonoumin Ouest Cite Zinzou Lot 1285 Ilot 21 - 12 BP 1811 Abidjan 12;+225 07 09 47 87 16;+225 07 78 46 60 78;;;uist.ci;Directeur des Etudes;Haute;Site officiel uist.ci;;sans email
Epitech Cote d'Ivoire;Ecole d'informatique - Grande Ecole 5 ans et MSc Pro;Prive;Abidjan - Cocody Riviera Faya;Riviera Faya Abidjan;;;;info@epitech.bj;epitech.africa/abidjan;Directeur des Etudes;Haute;Site officiel epitech.africa;domaine propre;valide
AGITEL-FORMATION;Grande ecole - gestion / informatique;Prive;Abidjan - Cocody Riviera Palmeraie;Rue Ministre, 03 BP 882 Abidjan 03;+225 27 22 23 60 03;+225 07 89 49 95 65;+225 07 89 49 95 65;infos@agitel-formation.net;www.agitel-formation.net;Directeur des Etudes / Directeur Pedagogique;Haute;Site officiel + AnnuaireCI;domaine propre;valide
GSM;Etablissement superieur prive - gestion;Prive;Abidjan - Cocody Riviera Palmeraie;Riviera Palmeraie pres de la Pharmacie Marie-Esther;+225 05 54 27 28 75;;;;;Directeur des Etudes;Moyenne;UPESUP;;sans email
Universite de l'Atlantique;Universite privee;Prive;Abidjan - Cocody Rue des Jardins;Cite des Cadres n19, 06 BP 6631 Abidjan 06;+225 01 40 06 92 92;+225 01 40 06 93 93;;uatl@aviso.ci;www.uatlantique.org;Directeur des Etudes;Moyenne;uatlantique.org + AnnuaireCI;gratuite;valide
Groupe CERCO Cote d'Ivoire;Grande ecole - informatique / IA;Prive;Abidjan - Deux Plateaux Vallon;07 BP 1092 Abidjan, Deux Plateaux Vallon;+225 07 07 10 55 63;+225 07 77 65 65 02;+225 07 58 27 08 27;cerco@groupecerco.com;groupecerco.com;Directeur des Etudes;Moyenne;groupecerco.com + AnnuaireCI;domaine propre;valide
CESA Koumassi - Centre d Etudes Superieures des Affaires d Abidjan;Ecole superieure privee - BTS Licence Master;Prive;Abidjan - Koumassi;Koumassi Nord-Est quartier residentiel derriere le centre de sante;+225 27 21 56 31 74;+225 07 57 82 11 81;;;cofecesa.net;Directeur des Etudes;Moyenne;Le Grand Frere + UPESUP;;sans email
ESTC Marcory - Ecole Superieure Technique et Commerciale;Ecole superieure privee - technique et commerciale;Prive;Abidjan - Marcory;;+225 05 55 55 86 55;;;;;Directeur des Etudes;Moyenne;AnnuaireCI;;sans email
ECG - Ecole de Commerce et de Gestion;Ecole superieure - BTS gestion et commerce;Prive;Abidjan - Marcory Zone 4;20 rue Thomas Edison Marcory Zone 4C - 07 BP 42 Abidjan 07;+225 27 21 24 42 23;+225 27 21 35 59 80;;infos@ecgecole.com;ecgecole.com;Directeur des Etudes;Haute;Site officiel ecg.ci;domaine propre;valide
EURO FORMATION Marcory;Centre de formation professionnelle et BTS;Prive;Abidjan - Marcory Zone 4;Zone 4C Rue Fleming Marcory - 26 BP 211 Abidjan 26;+225 27 21 25 45 15;+225 05 05 08 84 10;;;eurof.org;Directeur des Etudes;Haute;Site officiel eurof.org;;sans email
ITA - Institut des Technologies d'Abidjan;Institut superieur prive - technologique;Prive;Abidjan - Marcory Zone 4;Boulevard VGE face Immeuble KoZ Zone 4C Marcory - 20 BP 195 Abidjan 20;+225 27 21 28 32 92;+225 07 08 11 86 87;;info@ita-education.ci;ita-education.ci;Directeur des Etudes;Moyenne;AnnuaireCI + Le Grand Frere;domaine propre;morte
Groupe LOKO (UTT / ISTTA / EST-LOKO);Groupe scolaire et superieur (18 etablissements);Prive;Abidjan - Marcory, Yopougon;05 BP 671 Abidjan 05;+225 27 21 75 29 90;+225 27 21 21 19 20;;infos@groupeloko.com;www.groupeloko.com;Directeur des Etudes (par etablissement);Moyenne;groupeloko.online + AnnuaireCI;domaine propre;valide
AIB SARL - Afrique Informatique Bureautique;Centre de formation professionnelle - informatique et bureautique;Prive;Abidjan - Plateau;Rue du Commerce Plateau Abidjan;+225 27 20 32 40 78;+225 27 20 33 13 53;;;;Directeur des Etudes;Moyenne;Annuaire Pratik;;sans email
AIST Plateau - Academie Internationale des Sciences et Techniques;Ecole superieure privee;Prive;Abidjan - Plateau;SIPF Cercle du Rail derriere immeuble Tyrone Center Plateau;+225 27 20 22 60 20;+225 05 05 99 45 13;;plateau@groupeaist.net;groupeaist.com;Directeur des Etudes;Moyenne;Le Grand Frere + UPESUP;domaine propre;morte
CESA Plateau - Centre d Etudes Superieures des Affaires d Abidjan;Ecole superieure privee - BTS Licence Master;Prive;Abidjan - Plateau;Cercle des Rails a 200m de la Direction Generale Sitarail - 01 BP 8596 Abidjan 01;+225 27 20 21 97 56;+225 27 21 56 31 74;;cesa-plateau@cofecesa.net;cofecesa.net;Directeur des Etudes;Moyenne;AnnuaireCI + UPESUP;domaine propre;morte
ESC Castaing - Ecole Superieure de Commerce Castaing;Ecole superieure de commerce - logistique transport;Prive;Abidjan - Plateau;Avenue Crousson Duplessis face a Tralala Plateau - 01 BP 2617 Abidjan 01;+225 27 20 21 22 89;+225 27 20 21 63 47;;castaing@aviso.ci;esccastaing.com;Directeur des Etudes;Haute;Site officiel esccastaing.com;gratuite;valide
Groupe ESICOM (Ecole Superieure d'Informatique et de Commerce);Grande ecole - informatique / commerce;Prive;Abidjan - Plateau;Bd Roume, entre Hotel Ibis et Saham Assurances, 04 BP 801 Abidjan 04;+225 27 20 21 40 13;+225 27 20 33 54 80;+225 01 01 32 46 09;;www.esicom.net;Directeur des Etudes;Moyenne;AnnuaireCI + esicom.info;;sans email
ESBTP (Ecole Speciale du Batiment et des Travaux Publics);Grande ecole - BTP;Prive;Abidjan - Plateau (+ Yopougon, Treichville, Riviera);Rue du Commerce, Imm. Nassar et Gaddar, Esc. B 3e etage, 01 BP 3694 Abidjan 01;+225 27 20 32 80 01;+225 07 07 00 48 18;+225 05 05 30 88 40;esbtpab@aviso.ci;www.esbtp-ci.net;Directeur des Etudes (par campus);Haute;Page contact esbtp-ci.net;gratuite;valide
PIGIER Cote d'Ivoire;Grande ecole - commerce / gestion;Prive;Abidjan - Plateau (+ Yopougon, Yamoussoukro);Boulevard de la Republique, face ex-Sorbonne, 01 BP 1585 Abidjan 01;+225 27 20 30 35 00;+225 07 07 05 78 18;+225 07 08 33 45 39;pigierci@pigierci.com;www.pigierci.com;Directeur des Etudes (par campus);Haute;Site officiel pigierci.com;domaine propre;valide
ISTCI - Institut Superieur de Technologie de Cote d'Ivoire;Institut de technologie - informatique appliquee;Prive;Abidjan - Plateau et Cocody;5 Bd Angoulvant entre l'Alliance Biblique et l'Hotel Ibis Plateau - 01 BP 1482 Abidjan 01;+225 27 20 22 70 82;+225 27 20 22 69 22;;;;Directeur des Etudes;Moyenne;AnnuaireCI + Le Grand Frere;;sans email
Groupe ESCOGET - Ecole Superieure de Commerce de Gestion et de Technologie;Ecole superieure privee - BTS;Prive;Abidjan - Plateau et Riviera Palmeraie;Avenue Lamblin Residence 1er etage pres de la CNPS Plateau - 01 BP 1368 Abidjan 01;+225 07 78 39 15 14;+225 27 22 49 49 62;;info@groupescoget.com;groupescoget.com;Directeur des Etudes (par campus);Moyenne;AnnuaireCI + groupescoget.com;domaine propre;boite pleine
ESAM Vridi - Ecole Superieure des Affaires et du Management;Ecole superieure privee - BTS Licence Master;Prive;Abidjan - Port-Bouet;Zone industrielle de Vridi vers Tripostal Port-Bouet - 15 BP 576 Abidjan 15;+225 27 21 27 42 00;+225 27 21 27 42 42;;groupeesam.ci.nv@gmail.com;;Directeur des Etudes (par campus);Moyenne;AnnuaireCI + Le Grand Frere;gratuite;valide
AIST Treichville - Academie Internationale des Sciences et Techniques;Ecole superieure privee;Prive;Abidjan - Treichville;Bd VGE face SOLIBRA Immeuble La Balance Zone 3 Treichville;+225 01 02 10 68 29;+225 27 21 24 12 18;;treichville@groupeaist.net;groupeaist.com;Directeur des Etudes;Moyenne;AnnuaireCI + UPESUP;domaine propre;morte
ESATIC (Ecole Superieure Africaine des TIC);Grande ecole publique - numerique;Public;Abidjan - Treichville;KM4 Boulevard de Marseille, 18 BP 1501 Abidjan 18;+225 27 21 21 81 00;+225 01 03 10 81 81;;;www.esatic.ci;Directeur des Etudes / Directeur Pedagogique;Moyenne;Site officiel esatic.ci;;sans email
ESIM Yopougon - Ecole Superieure d'Industrie et de Management;Grande ecole - industrie et management;Prive;Abidjan - Yopougon;Yopougon Maroc a 300 m du carrefour Anador;+225 27 23 46 02 10;;;;;Directeur des Etudes;Moyenne;Le Grand Frere;;sans email
ESK Yopougon - Ecole Superieure de Commerce et de Gestion;Grande ecole - commerce / gestion;Prive;Abidjan - Yopougon;Entre la Poste et la Lonaci Toits Rouges Yopougon - 05 BP 2371 Abidjan 05;+225 27 22 42 17 26;+225 27 22 52 25 86;;;;Directeur des Etudes (par campus);Moyenne;GoAfricaOnline;;sans email
ETIC Yopougon - Ecole Technique Informatique et Commerciale;Ecole superieure technique - informatique et commerce;Prive;Abidjan - Yopougon;Yopougon quartier Selmer;+225 07 07 40 88 38;+225 07 48 74 53 75;+225 07 07 40 88 38;;eticecole.com;Directeur des Etudes (par campus);Moyenne;Le Grand Frere;;sans email
Institut LKM Yopougon;Institut superieur - tertiaire;Prive;Abidjan - Yopougon;Route de Dabou face Manutention Africaine apres le CHU de Yopougon;+225 27 23 49 60 03;+225 07 07 32 82 72;;;;Directeur des Etudes;Moyenne;UPESUP;;sans email
IUPA Yopougon - Institut Universitaire Polytechnique d'Abidjan;Institut universitaire - polytechnique et tertiaire;Prive;Abidjan - Yopougon;Yopougon Quartier Millionnaire rue des Universites;+225 07 79 63 51 90;+225 05 46 83 46 96;+225 07 79 63 51 90;iupayop@iupa-ismt.ci;iupa-ismt.ci;Directeur des Etudes (par campus);Haute;Site officiel iupa-ismt.ci;domaine propre;boite pleine
ESTP (Ecole Superieure Technique et Professionnelle);Ecole superieure technique - BTS;Prive;Abidjan - Yopougon Bel Air;Derriere Station Royal, Bel Air Yopougon, 08 BP 2234 Abidjan 08;+225 27 23 52 89 18;;;;;Directeur des Etudes;Moyenne;AnnuaireCI + Abidjan.net Pages Jaunes;;sans email
Lycee Municipal d'Abobo;Lycee public;Public;Abidjan Abobo;Commune d'Abobo quartier Avocatier Nguessankoi;+225 05 06 80 53 60;;;;;Proviseur / Censeur;Moyenne;annuaire cartographique en ligne;;sans email
Universite Nangui Abrogoua (UNA);Universite publique;Public;Abidjan Abobo-Adjame;02 BP 801 Abidjan 02;+225 05 85 07 58 05;;;info@univ-na.ci;univ-na.ci;Directeur des Etudes;Haute;univ-na.ci / alluniversity.info;domaine propre;valide
BEM Ecole de Banque et de Finance;Ecole superieure - banque finance assurance;Prive;Abidjan Cocody;Riviera Bonoumin face Abidjan Mall BP 2607 Abidjan;+225 27 21 77 67 41;+225 07 77 49 77 49;;contact@bem.ci;https://bem.ci;Directeur des Etudes;Haute;bem.ci;domaine propre;valide
Ecole Superieure de Gestion (ESG);Grande ecole privee;Prive;Abidjan Cocody;Cocody Abidjan;+225 07 08 58 08 88;;;infos@esg-ci.com;esg-ci.com;Directeur des Etudes;Moyenne;legrandfrere.africa;domaine propre;valide
EGT Ecole de la Geomatique et du Territoire;Ecole superieure - topographie geometre geomatique;Prive;Abidjan Cocody;Cocody Abatta 27 BP 753 Abidjan 27;+225 07 05 20 74 85;;;david.niamien@egt.ci;https://egt.ci;Directeur des Etudes;Haute;egt.ci;domaine propre;valide
GEA Groupe Ecoles Abidjan;Groupe d ecoles - energie mines petrole et comptabilite finance;Prive;Abidjan Cocody;Impasse le Chandelier derriere le BURIDA Deux-Plateaux Vallon 01 BP 3874 Abidjan 01;+225 05 74 27 04 97;;;info@gea-ci.com;https://www.gea-ci.com;Directeur des Etudes;Moyenne;annuaireci.com;domaine propre;boite pleine
ISAECI;Institut superieur - finance comptabilite gestion;Prive;Abidjan Cocody;Riviera 2 Carrefour Doraville;+225 27 22 43 54 05;+225 07 09 74 28 16;;contact@isaeci.com;https://isaeci.com;Directeur des Etudes;Haute;isaeci.com;domaine propre;valide
IUSS Institut Universitaire des Sciences de la Sante de Cote d Ivoire;Institut superieur - sante paramedical infirmiers sages-femmes;Prive;Abidjan Cocody;Riviera Bonoumin 04 BP 1390 Abidjan;+225 05 74 74 70 65;+225 07 07 11 00 48;;;;Directeur des Etudes;Moyenne;edukiya.com;;sans email
Lycee Technique d'Abidjan (LTA Cocody);Lycee technique;Public;Abidjan Cocody;Rue du Lycee Technique Cocody Abidjan;+225 27 22 40 60 87;;;lyceetechniqueabidjan@yahoo.fr;lta-ci.net;Proviseur / Censeur;Haute;lta-ci.net;gratuite;morte
Universite Charles Louis de Montesquieu (UCLM);Universite privee;Prive;Abidjan Cocody;Cocody Cite Mermoz;+225 07 07 87 25 41;+225 01 42 97 21 65;;;;Directeur des Etudes;Moyenne;annuaireci.com / upesup.ci;;sans email
Universite Methodiste de Cote d'Ivoire (UMECI);Universite privee;Prive confessionnel;Abidjan Cocody;Boulevard de l'Universite face CHU de Cocody;+225 27 22 44 66 68;+225 27 22 44 90 77;;;umeci.org.ci;Directeur des Etudes;Haute;umeci.org.ci / upesup.ci;;sans email
Universite Virtuelle de Cote d'Ivoire (UVCI);Universite publique;Public;Abidjan Cocody;Cocody Deux-Plateaux rue K4 a 200 m apres le Tribunal du Commerce;;;;secretariat@uvci.edu.ci;uvci.edu.ci;Directeur des Etudes;Haute;uvci.edu.ci;domaine propre;valide
Lycee Professionnel Hotelier d'Abidjan (LPHA Riviera);Lycee professionnel;Public;Abidjan Cocody Riviera Golf;12 rue Martin Luther King derriere l'Ambassade des USA Riviera Golf Cocody;+225 27 22 43 00 73;+225 27 22 43 25 88;;lyceeprofhotelier@yahoo.fr;lphr.ci;Proviseur / Censeur;Haute;lyceeprohotelier.sch-ci.org / lphr.ci;gratuite;valide
AGEFOP - Agence Nationale de la Formation Professionnelle;Centre de formation professionnelle agree;Public;Abidjan Marcory Zone 4;Angle rue Canal de Bietry et rue Pierre et Marie Curie Zone 4C Marcory;+225 07 77 74 93 80;;;;agefop.ci;Responsable Formation / Directeur des Etudes;Moyenne;agefop.ci / annuaireci.com;;sans email
Ecole Superieure des Affaires et de Management (ESAM);Grande ecole privee;Prive;Abidjan Treichville Zone 2;Zone 2 Immeuble Roche 4eme etage face Gare de Bassam Boulevard VGE 15 BP 576 Abidjan 15;+225 27 21 25 46 00;+225 27 21 25 64 00;;;;Directeur des Etudes;Moyenne;emploi.ci / excelafrica.com;;sans email
ARSTM Academie Regionale des Sciences et Techniques de la Mer;Academie maritime - transport maritime et navigation;Public;Abidjan Yopougon;V 158 Abidjan Republique de Cote d Ivoire;+225 27 23 46 08 08;+225 01 01 08 08 02;;arstminfo@arstm.net;https://arstm.net;Directeur des Etudes;Haute;arstm.net;domaine propre;valide
CFOMIS;Ecole de sante - infirmiers sages-femmes auxiliaires de soins;Prive;Abidjan Yopougon;Yopougon quartier Millionnaire carrefour Antenne apres le lycee de jeunes filles;+225 27 23 48 90 95;+225 07 67 65 17 67;;infos@cfomis-ci.com;https://cfomis-ci.com;Directeur des Etudes;Haute;cfomis-ci.com;domaine propre;boite pleine
